id	date	tags	likes	dislikes	count_comments	count_views	duration	sec_duration
ZyYTvCwrBCI	2020-02-10T07:00:00.000Z	['частота памяти', 'тайминги', 'тест', 'ОЗУ', 'RAM', '9900K', '5GHZ', '4200mhz', '3950x', 'AMD', 'intel']	18479	289	1783	220483	PT12M17S	737
emZ_B4RFdto	2020-02-07T14:17:23.000Z	['завод ЕК', 'ЕК', 'EK', 'EKWB', 'Edvard König Water Blocks', 'СЖО', 'как производится система охлаждения']	10637	192	1136	106044	PT35M10S	2110
_Te61Yqwd_Y	2020-02-04T16:08:52.000Z	['nvidia', 'искусственный интеллект', 'AI', 'ИИ', 'Loihi', 'IBM', 'Pro Hi-Tech', 'прохайтек', 'про хайтек', 'нейронные сети', 'CNN']	12830	203	1343	129907	PT31M7S	1867
PnENRGwNfQA	2020-01-23T16:20:28.000Z	['Google Pixel 4 XL', 'Google Pixel', 'Pixel прошивка', 'Pixel реальные впечатления', 'Pixel камера', 'стоит ли покупать Pixel']	15211	446	1388	227325	PT22M53S	1373
HNMiUyylHqc	2020-01-21T14:00:03.000Z	['RX 5600 XT', 'RX 5700', 'RTX 2060', 'GTX 1660 Ti']	11570	210	1374	157595	PT6M53S	413
biZsn5AgQSQ	2020-01-20T12:32:25.000Z	['Athlon 3000G', 'pentium g5500', 'Athlon 240GE', 'тест', 'Pro hi tech', 'Прохайтек', 'про хайтек']	9137	176	913	106474	PT14M37S	877
ep8o8DVPz_0	2020-01-17T16:06:20.000Z	['аккумуляторы', 'accumulators', 'li-ion', 'na-ion']	26808	668	2191	442267	PT41M4S	2464
ljEa-G54A30	2020-01-14T19:28:35.000Z	['windows 7 end', 'windows 7 конец']	16331	1564	3522	308010	PT12M37S	757
ef2pMcb1gHI	2020-01-14T10:05:34.000Z	['AMD Ryzen 5 3500U', 'Vega 8', 'lenovo S540']	7946	162	825	125300	PT17M49S	1069
rzk4LkP9bqM	2020-01-10T13:18:42.000Z	['Alienware UFO', 'Nintendo Switch', 'GPD Win', 'PS Vita', 'почему на android игр нет']	7305	712	1036	97119	PT6M24S	384
